template_id,median_z,mean_z,minchi2,mode_z,z_sigma68,z_sigma,z_mc,concentration_i,concentration_cal_i,asymmetry_i,clumpiness_i,gini_i,m20_i,mag_sersic_i,mag_cal_i,re_sersic_i,re_cal_i,n_sersic_i,n_sersic_cal_i,ellipticity_sersic_i,ellipticity_sersic_cal_i
0,0.4655729239618727,0.473333496199003,3.718391626743596,0.47000000000000003,0.029630654089859543,0.033182913971598886,0.4664662614197342,1.764975,-0.511485,0.12966,0.0,0.465964,-1.45487,20.95802,-0.07698059,0.6582811,-0.36301887,1.5413232,0.06932318,0.61995816,-0.12564182
0,0.46607432544917826,0.4740967687023049,3.4137156902820607,0.47000000000000003,0.030069272856798224,0.033696168920334654,0.4877832060517396,1.764975,-0.511485,0.12966,0.0,0.465964,-1.45487,20.95802,-0.07698059,0.6582811,-0.36301887,1.5413232,0.06932318,0.61995816,-0.12564182
0,0.4655458893260888,0.4733959233342193,3.5698258490665467,0.47000000000000003,0.029957790948134527,0.033478317179751756,0.4632483324803375,1.764975,-0.511485,0.12966,0.0,0.465964,-1.45487,20.95802,-0.07698059,0.6582811,-0.36301887,1.5413232,0.06932318,0.61995816,-0.12564182
0,0.46617084508649564,0.4741278243945116,3.548702534712902,0.47000000000000003,0.029749559716311463,0.03343037977872276,0.43655819423336767,1.764975,-0.511485,0.12966,0.0,0.465964,-1.45487,20.95802,-0.07698059,0.6582811,-0.36301887,1.5413232,0.06932318,0.61995816,-0.12564182
0,0.4658843694408233,0.4737996966236177,3.540370258434905,0.47000000000000003,0.029878070750999852,0.033476892204019684,0.4608147065669066,1.764975,-0.511485,0.12966,0.0,0.465964,-1.45487,20.95802,-0.07698059,0.6582811,-0.36301887,1.5413232,0.06932318,0.61995816,-0.12564182
9,0.13825241695684687,0.22580153744893597,0.13700992137637513,0.11,0.25167514392677226,0.19262781583636135,0.1951718667358995,2.8504999,0.35598993,0.0631316,0.0524658,0.493586,-1.70819,19.454643,-0.05125618,5.370709,-0.268991,1.3650672,0.038867176,0.053812444,-0.026287556
9,0.140112591033701,0.2349014006991648,0.11930741465585015,0.11,0.2555264469480795,0.19969723851805918,0.6072724511979395,2.8504999,0.35598993,0.0631316,0.0524658,0.493586,-1.70819,19.454643,-0.05125618,5.370709,-0.268991,1.3650672,0.038867176,0.053812444,-0.026287556
9,0.1403418477823879,0.23407728895820068,0.10893513111568609,0.11,0.2550700796947416,0.19874896785231327,0.6227570983965197,2.8504999,0.35598993,0.0631316,0.0524658,0.493586,-1.70819,19.454643,-0.05125618,5.370709,-0.268991,1.3650672,0.038867176,0.053812444,-0.026287556
9,0.13910688498911025,0.22975705304239963,0.11988459077019797,0.11,0.2534822841169613,0.19569656565120547,0.04286963620159127,2.8504999,0.35598993,0.0631316,0.0524658,0.493586,-1.70819,19.454643,-0.05125618,5.370709,-0.268991,1.3650672,0.038867176,0.053812444,-0.026287556
9,0.13944589701265347,0.23118316722964344,0.12141792677721241,0.11,0.25412297682888163,0.19677428721526516,0.10376362904095614,2.8504999,0.35598993,0.0631316,0.0524658,0.493586,-1.70819,19.454643,-0.05125618,5.370709,-0.268991,1.3650672,0.038867176,0.053812444,-0.026287556
19,0.5638879170059317,0.5623101385155878,1.7005690321784641,0.5700000000000001,0.01947714088144714,0.055447437101274685,0.5791390878504685,1.850225,-0.5100651,0.0275836,0.0,0.503246,-1.70486,19.697374,-0.101026535,2.1639855,-0.19221449,2.381204,0.2930038,0.39669502,-0.029304981
19,0.5633399140537222,0.5609698887873493,1.6936967108922545,0.5700000000000001,0.019544127444506287,0.05798477293633887,0.5831905790748008,1.850225,-0.5100651,0.0275836,0.0,0.503246,-1.70486,19.697374,-0.101026535,2.1639855,-0.19221449,2.381204,0.2930038,0.39669502,-0.029304981
19,0.5634674394227346,0.5613395082709657,1.7069618991808966,0.5700000000000001,0.019523373699215973,0.0572044166109574,0.5544331725451784,1.850225,-0.5100651,0.0275836,0.0,0.503246,-1.70486,19.697374,-0.101026535,2.1639855,-0.19221449,2.381204,0.2930038,0.39669502,-0.029304981
